student_id,cgpa,hackathons,papers_presented,core_courses,teacher_assistance,sem_consistency
1,4.9963209507789,2,5,3,1,0.1671000877656339
2,9.60571445127933,0,6,7,1,0.033393204865857395
3,7.855951534491241,4,1,5,5,0.38571671276102004
4,6.789267873576293,5,8,6,3,0.9035593036972819
5,3.248149123539492,2,9,3,2,0.2389865877556765
6,3.247956162689621,1,9,7,5,0.206513164929784
7,2.4646688973455957,2,0,5,3,0.9698207852410403
8,8.92940916619948,2,0,4,5,0.02500411285059212
9,6.80892009394567,1,2,5,4,0.7857821503937543
10,7.664580622368364,3,2,4,1,0.32136995574087035
11,2.1646759543664196,3,0,4,1,0.037487956869659333
12,9.759278817295954,0,6,3,5,0.9178025402095836
13,8.659541126403374,0,3,3,1,0.1396423302095836
14,3.6987128854262092,3,9,5,0,0.5517792837256954
15,3.454599737656805,5,1,7,5,0.2740542074295478
16,3.4672360788274705,4,9,5,4,0.06519280218469103
17,4.433937943676302,2,4,6,5,0.04992248566337909
18,6.198051453057903,4,5,4,5,0.11555669883633879
19,5.455560149136926,2,8,4,1,0.07136701388938005
20,4.329833121584335,3,3,3,4,0.7605581155199229
21,6.894823157779036,0,1,7,5,0.48556620228342917
22,3.1159508852163347,5,4,3,1,0.3428920913489797
23,4.337157188281745,0,2,6,2,0.41836891013200717
24,4.930894746349534,4,1,5,4,0.9289467355726233
25,5.648559873736287,0,0,5,3,0.9107518127381472
26,8.281407691144109,3,9,7,0,0.7156764801225769
27,3.597390257266878,5,1,3,3,0.8846823774216878
28,6.113875507308893,4,5,3,4,0.3196480275876248
29,6.73931655089634,5,7,6,5,0.38110932600828284
30,2.371603301759982,2,2,5,1,0.613712181854228
31,6.860358815211507,0,10,3,4,0.6236259472972642
32,3.3641929894983322,5,8,7,0,0.48169983801234095
33,2.520412743882236,1,8,5,4,0.40065784843795327
34,9.591084298026665,0,1,6,1,0.9861803116086951
35,9.725056264596475,2,7,7,3,0.8211236261177244
36,8.46717878493169,5,9,4,2,0.4349801978880452
37,4.4369101533869655,4,10,6,3,0.7272924772395685
38,2.781376912051071,2,4,7,1,0.2695616932524595
39,7.473864212097255,1,3,3,1,0.10016932623732988
40,5.52121994991681,5,9,4,0,0.35243102555274064
41,2.9763058787582306,3,4,6,4,0.4029728001233942
42,5.9614152808901615,0,3,3,4,0.0165371245606708
43,2.275108168921747,4,7,4,3,0.814792001635896
44,9.274563216630256,3,3,5,2,0.3591934023891815
45,4.070239852800135,5,9,3,2,0.580418165780147
46,7.300178274831856,5,5,7,0,0.07396318727095597
47,4.493688608715288,2,1,6,1,0.17499682875058398
48,6.1605441694224865,5,4,4,0,0.88969372532756
49,6.373682234746237,4,5,3,4,0.6086875278828008
50,3.4788356442042163,3,4,5,5,0.9502840501704856
51,9.756677022116468,4,1,6,5,0.9987500343913169
